entity,nertype,count
Lower Burma,GPE,1522
Mergui,GPE,1517
Keralas,GPE,1517
Bagdad,GPE,1509
Milton,GPE,1507
Hyderabad State,GPE,1504
Portland,GPE,1503
Brunei,GPE,1498
Kalpana,GPE,1496
Vijaya,GPE,1494
Lausanne,GPE,1492
Gurkhas,GPE,1492
Modi,GPE,1491
Sharjah,GPE,1480
Bombay Municipality,GPE,1478
Liberia,GPE,1474
Newton,GPE,1471
Estonia,GPE,1468
Raigad,GPE,1468
Kochi,GPE,1468
Moldavia,GPE,1464
Fanaswadi,GPE,1464
Newmarket,GPE,1463
N.I.,GPE,1460
Bahamas,GPE,1459
South Wales,GPE,1459
Malad,GPE,1458
rM,GPE,1457
Calais,GPE,1456
Mahaluxmi,GPE,1454
Nadia,GPE,1454
Sunderland,GPE,1453
Chem,GPE,1451
Adjt,GPE,1447
Kansas,GPE,1445
Meena,GPE,1442
Guntur,GPE,1440
Indian States,GPE,1437
Deesa,GPE,1436
Pokhran,GPE,1435
turkey,GPE,1435
Tipu,GPE,1434
Kamal,GPE,1433
MANILA,GPE,1433
British Columbia,GPE,1432
CANADA,GPE,1432
Tinnevelly,GPE,1432
Md,GPE,1432
